+====================+===================+======================================================================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                                                                  |
+====================+===================+======================================================================================================================================================+
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][0]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][7]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][7]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][2]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][1]/D                                                                                                       |
| clk_out1_pll       | clk_out1_pll      | student_top_inst/Core_cpu/mem_wb_wb_data_reg[7]/D                                                                                                    |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][3]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][4]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][5]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][0]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][4]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[3][2]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | student_top_inst/bridge_inst/dram_driver_inst/Mem_DRAM/U0/synth_options.dist_mem_inst/gen_sp_ram.spram_inst/ram_reg_23808_24063_30_30/RAMS64E_A/ADR0 |
| clk_out2_pll       | clk_out2_pll      | student_top_inst/bridge_inst/dram_driver_inst/Mem_DRAM/U0/synth_options.dist_mem_inst/gen_sp_ram.spram_inst/ram_reg_23808_24063_30_30/RAMS64E_B/ADR0 |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][5]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][6]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][3]/D                                                                                                       |
| clk_out1_pll       | clk_out1_pll      | student_top_inst/Core_cpu/mem_wb_wb_data_reg[9]/D                                                                                                    |
| clk_out1_pll       | clk_out1_pll      | student_top_inst/Core_cpu/mem_wb_wb_data_reg[11]/D                                                                                                   |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][3]/D                                                                                                       |
| clk_out2_pll       | clk_out2_pll      | student_top_inst/bridge_inst/dram_driver_inst/Mem_DRAM/U0/synth_options.dist_mem_inst/gen_sp_ram.spram_inst/ram_reg_20224_20479_30_30/RAMS64E_B/ADR0 |
