#-----------------------------------------------------------
# xsim v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Thu Apr 30 18:15:56 2026
# Process ID: 26648
# Current directory: D:/System/desktop/kldj_sourceset/pipilined5
# Command line: xsim.exe -mode tcl -source {xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl}
# Log file: D:/System/desktop/kldj_sourceset/pipilined5/xsim.log
# Journal file: D:/System/desktop/kldj_sourceset/pipilined5\xsim.jou
#-----------------------------------------------------------
source xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl
# xsim {rv32i_supported_instr_tb_sim} -autoloadwcfg -runall
Vivado Simulator 2018.3
Time resolution is 1 ps
run -all
[PASS] retire step=0 pc=0x80000000 inst=0x00000b93 next_pc=0x80000004
[PASS] retire step=1 pc=0x80000004 inst=0x00000c13 next_pc=0x80000008
[PASS] retire step=2 pc=0x80000008 inst=0x00000c93 next_pc=0x8000000c
[PASS] retire step=3 pc=0x8000000c inst=0x00000d13 next_pc=0x80000010
[PASS] retire step=4 pc=0x80000010 inst=0x00000d93 next_pc=0x80000014
[PASS] retire step=5 pc=0x80000014 inst=0x00000e13 next_pc=0x80000018
[PASS] retire step=6 pc=0x80000018 inst=0x000001b7 next_pc=0x8000001c
[FAIL] step=7 pc=0x8000001c inst=0xf8e9b197 x3 expected=0x78e9b01c got=0x00000000
[FAIL] step=8 pc=0x80000020 inst=0x000011b7 x3 expected=0x00001000 got=0x78e9b020
[FAIL] step=9 pc=0x80000024 inst=0xcbe9c197 x3 expected=0x4be9c024 got=0x00001000
[FAIL] step=10 pc=0x80000028 inst=0x7ffff1b7 x3 expected=0x7ffff000 got=0x4be9c028
[FAIL] step=11 pc=0x8000002c inst=0x01af7197 x3 expected=0x81af702c got=0x7ffff000
[FAIL] step=12 pc=0x80000030 inst=0x800001b7 x3 expected=0x80000000 got=0x81af7030
[FAIL] step=13 pc=0x80000034 inst=0x00000197 x3 expected=0x80000034 got=0x80000000
[FAIL] step=14 pc=0x80000038 inst=0xfffff1b7 x3 expected=0xfffff000 got=0x80000038
[FAIL] step=15 pc=0x8000003c inst=0x00001197 x3 expected=0x8000103c got=0xfffff000
[FAIL] step=16 pc=0x80000040 inst=0x77f5d1b7 x3 expected=0x77f5d000 got=0x80001040
[FAIL] step=17 pc=0x80000044 inst=0x7ffff197 x3 expected=0xfffff044 got=0x77f5d000
[FAIL] step=18 pc=0x80000048 inst=0x8b5431b7 x3 expected=0x8b543000 got=0xfffff048
[FAIL] step=19 pc=0x8000004c inst=0x80000197 x3 expected=0x0000004c got=0x8b543000
[FAIL] step=20 pc=0x80000050 inst=0x89d6d1b7 x3 expected=0x89d6d000 got=0x00000050
[FAIL] step=21 pc=0x80000054 inst=0xfffff197 x3 expected=0x7ffff054 got=0x89d6d000
[FAIL] step=22 pc=0x80000058 inst=0x000001b7 x3 expected=0x00000000 got=0x7ffff058
[FAIL] step=23 pc=0x8000005c inst=0x397d6197 x3 expected=0xb97d605c got=0x00000000
[FAIL] step=24 pc=0x80000060 inst=0x000011b7 x3 expected=0x00001000 got=0xb97d6060
[FAIL] step=25 pc=0x80000064 inst=0x465d6197 x3 expected=0xc65d6064 got=0x00001000
[FAIL] step=26 pc=0x80000068 inst=0x7ffff1b7 x3 expected=0x7ffff000 got=0xc65d6068
[FAIL] step=27 pc=0x8000006c inst=0x23271197 x3 expected=0xa327106c got=0x7ffff000
[FAIL] step=28 pc=0x80000070 inst=0x800001b7 x3 expected=0x80000000 got=0xa3271070
[FAIL] step=29 pc=0x80000074 inst=0x00000197 x3 expected=0x80000074 got=0x80000000
[FAIL] step=30 pc=0x80000078 inst=0x4fae30b7 x1 expected=0x4fae3000 got=0x00000000
[FAIL] step=30 pc=0x80000078 inst=0x4fae30b7 x3 expected=0x80000074 got=0x80000078
[FAIL] step=31 pc=0x8000007c inst=0x51f08093 x1 expected=0x4fae351f got=0x4fae3000
[FAIL] step=31 pc=0x8000007c inst=0x51f08093 x3 expected=0x80000074 got=0x80000078
[FAIL] step=32 pc=0x80000080 inst=0x00108193 x3 expected=0x4fae3520 got=0x80000078
[FAIL] step=33 pc=0x80000084 inst=0x6fe210b7 x1 expected=0x6fe21000 got=0x4fae351f
[FAIL] step=34 pc=0x80000088 inst=0xb5708093 x1 expected=0x6fe20b57 got=0x6fe21000
[FAIL] step=35 pc=0x8000008c inst=0x23f0a193 x3 expected=0x00000000 got=0x4fae3520
[FAIL] step=36 pc=0x80000090 inst=0x661280b7 x1 expected=0x66128000 got=0x6fe20b57
[FAIL] step=37 pc=0x80000094 inst=0xd0008093 x1 expected=0x66127d00 got=0x66128000
[PASS] retire step=38 pc=0x80000098 inst=0x0010b193 next_pc=0x8000009c
[FAIL] step=39 pc=0x8000009c inst=0x5e1e40b7 x1 expected=0x5e1e4000 got=0x66127d00
[FAIL] step=40 pc=0x800000a0 inst=0x32f08093 x1 expected=0x5e1e432f got=0x5e1e4000
[FAIL] step=41 pc=0x800000a4 inst=0x7ff0c193 x3 expected=0x5e1e44d0 got=0x00000000
